date,name,ticker,open,high,low,close,volume
2021-09-28,KASE,KASE_INDEX,3382.73,3393.88,3322.6,3333.91,5109.85
2021-09-29,KASE,KASE_INDEX,3344.72,3393.54,3319.68,3371.76,4710.6
2021-09-30,KASE,KASE_INDEX,3371.76,3390.08,3330.15,3383.68,69505.95
2021-10-01,KASE,KASE_INDEX,3384.66,3426.86,3384.66,3412.31,121.14
2021-10-04,KASE,KASE_INDEX,3412.31,3425.4,3343.79,3391.11,914.69
2021-10-05,KASE,KASE_INDEX,3389.56,3411.84,3384.78,3411.84,50.53
2021-10-06,KASE,KASE_INDEX,3410.53,3415.58,3387.18,3399.94,38.63
2021-10-07,KASE,KASE_INDEX,3399.93,3429.26,3399.46,3418.0,99.52
2021-10-08,KASE,KASE_INDEX,3420.3,3451.1,3420.3,3446.21,55.29
2021-10-11,KASE,KASE_INDEX,3446.21,3459.68,3428.28,3442.84,80.05
2021-10-12,KASE,KASE_INDEX,3442.64,3495.01,3431.37,3487.72,215.87
2021-10-13,KASE,KASE_INDEX,3508.38,3572.04,3508.38,3571.37,162.43
2021-10-14,KASE,KASE_INDEX,3571.37,3685.99,3571.26,3643.54,292.17
2021-10-15,KASE,KASE_INDEX,3643.37,3664.37,3636.53,3646.15,100.43
2021-10-18,KASE,KASE_INDEX,3646.42,3710.66,3635.92,3703.75,160.35
2021-10-19,KASE,KASE_INDEX,3705.79,3867.16,3695.51,3702.98,180.65
2021-10-20,KASE,KASE_INDEX,3701.65,3776.38,3701.65,3712.42,131.54
2021-10-21,KASE,KASE_INDEX,3712.39,3734.52,3710.71,3712.86,60.99
2021-10-22,KASE,KASE_INDEX,3712.86,3741.1,3697.68,3738.14,166.18
2021-10-25,KASE,KASE_INDEX,3737.85,3746.74,3717.03,3736.59,93.87
2021-10-26,KASE,KASE_INDEX,3736.65,3775.66,3736.65,3765.0,292.12
2021-10-27,KASE,KASE_INDEX,3765.73,3775.43,3719.33,3762.39,111.51
2021-10-28,KASE,KASE_INDEX,3762.4,3780.7,3735.12,3752.61,76.83
2021-10-29,KASE,KASE_INDEX,3752.35,3770.05,3741.77,3751.85,173.52
2021-11-01,KASE,KASE_INDEX,3751.85,3773.92,3672.41,3717.77,113.1
2021-11-02,KASE,KASE_INDEX,3725.93,3748.5,3686.3,3686.3,251.06
2021-11-03,KASE,KASE_INDEX,3686.3,3731.27,3653.94,3698.36,294.07
2021-11-04,KASE,KASE_INDEX,3692.75,3748.73,3692.75,3748.27,281.02
2021-11-05,KASE,KASE_INDEX,3748.29,3763.67,3725.14,3746.35,224.7
2021-11-08,KASE,KASE_INDEX,3746.35,3777.84,3740.38,3761.78,141.55
2021-11-09,KASE,KASE_INDEX,3763.78,3784.08,3757.14,3777.27,115.74
2021-11-10,KASE,KASE_INDEX,3777.27,3792.53,3768.64,3777.64,87.99
2021-11-11,KASE,KASE_INDEX,3777.65,3790.35,3762.96,3765.18,117.38
2021-11-12,KASE,KASE_INDEX,3765.18,3795.69,3765.18,3790.08,92.24
2021-11-15,KASE,KASE_INDEX,3784.45,3807.37,3762.6,3806.33,87.71
2021-11-16,KASE,KASE_INDEX,3801.02,3814.1,3785.49,3797.55,145.6
2021-11-17,KASE,KASE_INDEX,3797.55,3816.59,3753.72,3789.44,120.19
2021-11-18,KASE,KASE_INDEX,3789.44,3823.91,3785.56,3810.7,69.96
2021-11-19,KASE,KASE_INDEX,3810.31,3824.58,3743.61,3754.57,109.79
2021-11-22,KASE,KASE_INDEX,3757.38,3786.17,3714.12,3714.12,99.33
2021-11-23,KASE,KASE_INDEX,3712.8,3728.22,3668.01,3702.97,101.6
2021-11-24,KASE,KASE_INDEX,3703.25,3734.54,3691.72,3715.82,108.88
2021-11-25,KASE,KASE_INDEX,3715.82,3753.04,3714.24,3727.85,55.45
2021-11-26,KASE,KASE_INDEX,3725.04,3735.57,3677.34,3697.76,127.3
2021-11-29,KASE,KASE_INDEX,3695.79,3759.38,3645.63,3708.09,102.1
2021-11-30,KASE,KASE_INDEX,3708.09,3715.24,3677.63,3684.07,66.59
2021-12-02,KASE,KASE_INDEX,3684.07,3694.18,3648.98,3679.12,81.53
2021-12-03,KASE,KASE_INDEX,3683.9,3716.44,3674.71,3695.37,63.68
2021-12-06,KASE,KASE_INDEX,3695.37,3697.33,3615.49,3615.49,81.05
2021-12-07,KASE,KASE_INDEX,3615.75,3693.42,3615.75,3667.66,58.79
2021-12-08,KASE,KASE_INDEX,3671.51,3706.24,3650.29,3651.4,72.01
2021-12-09,KASE,KASE_INDEX,3650.44,3676.32,3627.73,3639.12,366.26
2021-12-10,KASE,KASE_INDEX,3639.12,3667.94,3631.5,3648.0,127427.99
2021-12-13,KASE,KASE_INDEX,3648.0,3690.09,3607.17,3660.82,47.35
2021-12-14,KASE,KASE_INDEX,3660.82,3660.82,3572.64,3621.57,923.52
2021-12-15,KASE,KASE_INDEX,3621.57,3654.77,3604.34,3610.77,22.79
2021-12-20,KASE,KASE_INDEX,3610.77,3631.42,3584.16,3590.7,614.51
2021-12-21,KASE,KASE_INDEX,3591.22,3609.88,3560.26,3605.73,110.47
2021-12-22,KASE,KASE_INDEX,3599.06,3629.78,3587.84,3629.78,33.47
2021-12-23,KASE,KASE_INDEX,3629.45,3658.29,3609.16,3655.08,150.7
2021-12-24,KASE,KASE_INDEX,3655.1,3668.6,3637.59,3659.85,33.78
2021-12-27,KASE,KASE_INDEX,3659.65,3675.11,3651.61,3674.26,78.85
2021-12-28,KASE,KASE_INDEX,3675.61,3714.49,3668.62,3677.39,56.37
2021-12-29,KASE,KASE_INDEX,3673.18,3690.69,3661.24,3678.92,149.74
2021-12-30,KASE,KASE_INDEX,3679.81,3691.25,3656.6,3675.38,154.77
2021-12-31,KASE,KASE_INDEX,3675.38,3683.74,3651.77,3675.28,28.29
2022-01-05,KASE,KASE_INDEX,3673.17,3687.6,3565.02,3583.74,71.19
2022-01-11,KASE,KASE_INDEX,3584.03,3644.78,3568.66,3626.92,50.67
2022-01-12,KASE,KASE_INDEX,3633.63,3636.74,3580.22,3598.79,59.62
2022-01-13,KASE,KASE_INDEX,3598.8,3644.36,3577.72,3600.32,75.64
2022-01-14,KASE,KASE_INDEX,3600.32,3621.21,3562.18,3568.02,93.87
2022-01-17,KASE,KASE_INDEX,3568.02,3573.49,3455.95,3461.87,128.39
2022-01-18,KASE,KASE_INDEX,3461.87,3510.52,3461.87,3481.12,99.1
2022-01-19,KASE,KASE_INDEX,3473.95,3483.51,3447.65,3461.78,1090.16
2022-01-20,KASE,KASE_INDEX,3464.15,3516.68,3457.91,3481.2,74.21
2022-01-21,KASE,KASE_INDEX,3481.46,3491.93,3447.83,3488.04,857.06
2022-01-24,KASE,KASE_INDEX,3492.54,3494.42,3417.61,3440.64,181.27
2022-01-25,KASE,KASE_INDEX,3440.21,3440.21,3367.93,3433.1,829.23
2022-01-26,KASE,KASE_INDEX,3433.1,3455.48,3397.21,3455.01,671.18
2022-01-27,KASE,KASE_INDEX,3454.23,3507.4,3425.57,3507.4,1877.67
